S19_Timestamp_CAL,S19_RealTime_CAL,S19_GSR_CAL,S19_Quat_MPL_6DOF_W_CAL,S19_Quat_MPL_6DOF_X_CAL,S19_Quat_MPL_6DOF_Y_CAL,S19_Quat_MPL_6DOF_Z_CAL,S19_Gyro_MPU_MPL_X_CAL,S19_Gyro_MPU_MPL_Y_CAL,S19_Gyro_MPU_MPL_Z_CAL,S19_Accel_MPU_MPL_X_CAL,S19_Accel_MPU_MPL_Y_CAL,S19_Accel_MPU_MPL_Z_CAL,S19_Mag_MPU_MPL_X_CAL,S19_Mag_MPU_MPL_Y_CAL,S19_Mag_MPU_MPL_Z_CAL,S19_Date,,
msecs,msecs,kOhms,no units,no units,no units,no units,deg/sec,deg/sec,deg/sec,m/(sec^2),m/(sec^2),m/(sec^2),uTesla,uTesla,uTesla,dd_MMM_yyyy_HH:MM:SS.FFF,,
1664788.483,1.47024E+12,-40.01360463,-0.687721372,0.015656868,0.004435248,-0.725792229,5.471191406,1.787094116,3.723144531,-0.045257568,-0.03086853,0.989929199,-20.2260437,-3.613800049,-44.15519714,3rd_Aug_2016_10:55:42.138,1791,157.167
1664855.133,1.47024E+12,-40.01360463,-0.687981188,0.014318117,0.003344025,-0.725579619,-0.083007813,-0.166030884,1.037597656,0.005401611,-0.015731812,1.030578613,-19.62606812,-3.013824463,-45.9551239,3rd_Aug_2016_10:55:42.205,1792,157.234
1664921.783,1.47024E+12,-40.01360463,-0.686905563,0.013121705,0.003882159,-0.726617932,2.541503906,-0.166030884,6.713867188,-0.002655029,-0.019393921,1.006530762,-21.12600708,-4.513763428,-45.05516052,3rd_Aug_2016_10:55:42.271,1793,157.3
1664988.464,1.47024E+12,-40.01360463,-0.684872925,0.01340623,0.003931214,-0.7285285,-1.42578125,-0.532241821,2.44140625,-0.027191162,-0.037948608,0.993591309,-20.2260437,-5.7137146,-46.25511169,3rd_Aug_2016_10:55:42.338,1794,157.367
1665055.084,1.47024E+12,-40.01360463,-0.684357107,0.014814198,0.00221507,-0.728993058,4.494628906,4.899887085,2.44140625,-0.032806396,-0.023788452,0.985900879,-18.42611694,-3.913787842,-44.45518494,3rd_Aug_2016_10:55:42.405,1795,157.434
1665121.735,1.47024E+12,-40.01360463,-0.684741914,0.014441021,0.000626302,-0.728642285,-1.120605469,5.327133179,-1.281738281,0.006988525,-0.015853882,1.029602051,-20.2260437,-2.71383667,-46.25511169,3rd_Aug_2016_10:55:42.471,1796,157.5
1665188.385,1.47024E+12,-40.01360463,-0.684477091,0.017572744,0.000440049,-0.72882247,-5.942382813,5.266098022,-0.793457031,-0.009613037,-0.032821655,1.004577637,-20.2260437,-4.213775635,-45.65513611,3rd_Aug_2016_10:55:42.538,1797,157.567
1665255.066,1.47024E+12,-40.01360463,-0.685343683,0.022083372,0.000821664,-0.727884471,-7.041015625,2.885726929,-4.455566406,-0.06942749,-0.034042358,0.981384277,-18.42611694,-3.913787842,-45.05516052,3rd_Aug_2016_10:55:42.605,1798,157.634
1665321.686,1.47024E+12,-40.01360463,-0.686821222,0.020820986,0.004242416,-0.72651577,-1.181640625,-7.124038696,-2.746582031,-0.03012085,-0.038070679,1.016906738,-19.02609253,-3.013824463,-46.55509949,3rd_Aug_2016_10:55:42.671,1799,157.7
1665388.336,1.47024E+12,-40.01360463,-0.687532246,0.022614289,0.002150836,-0.725798428,2.541503906,2.092269897,4.150390625,-0.020599365,-0.041610718,0.988708496,-19.02609253,-4.513763428,-47.45506287,3rd_Aug_2016_10:55:42.738,1800,157.767
